OBJECTID,type,subtype,x,y,TAZ
1,14,5,513,46.8723762,24.5539287,404
2,15,5,513,46.8732487,24.5533584,404
3,16,5,513,46.8744834,24.5539812,404
4,17,5,513,46.8750963,24.5547778,404
5,18,5,513,46.8763753,24.5539518,404
6,19,5,513,46.875159,24.5572778,404
7,20,5,513,46.8767008,24.555175,404
8,21,5,513,46.8774947,24.5557699,404
9,22,5,513,46.8761946,24.558765,404
10,23,5,513,46.8764878,24.5579542,404
11,24,5,513,46.877125,24.5587848,404
12,25,5,513,46.8786211,24.5578197,404
13,26,5,513,46.8786334,24.5565664,404
14,27,5,513,46.8773511,24.560533,404
15,28,5,513,46.8787819,24.5621704,404
16,29,5,513,46.8798552,24.5625188,404
17,30,5,513,46.8799317,24.5633457,404
18,31,5,513,46.8799759,24.5645651,404
19,32,5,513,46.8806786,24.5652915,404
20,33,5,513,46.8820742,24.5632089,404
21,34,5,513,46.8830804,24.5625585,404
22,35,5,513,46.8860198,24.5641406,404
23,36,1,101,46.709997,24.7671991,755
24,37,6,605,46.591925,24.5849197,1387
25,38,5,502,46.7115501,24.628153,1259
26,39,5,502,46.7162144,24.6559736,1180
27,40,5,502,46.6928885,24.6730476,1036
28,41,5,502,46.717303,24.6575954,1188
29,42,6,606,46.8380302,24.7290742,364
30,43,6,606,46.839991,24.7303652,364
31,44,6,606,46.8381975,24.7291781,364
32,45,6,606,46.8389267,24.7406022,491
33,46,6,606,46.7918025,24.6894871,937
34,47,6,606,46.6082123,24.5999527,157
35,48,6,606,46.6378324,24.6114432,1080
36,49,6,606,46.6635644,24.6273305,160
37,50,6,606,46.6119529,24.5976842,157
38,51,6,606,46.6079492,24.5921852,157
39,52,6,606,46.61141,24.5945622,157
40,53,6,606,46.615032,24.5939686,157
41,54,6,606,46.6068568,24.5821882,1390
42,55,6,606,46.6081357,24.5792754,1390
43,56,6,606,46.6077589,24.585399,469
44,57,6,606,46.6444017,24.5740282,163
45,58,6,606,46.645237,24.594701,1112
46,59,6,606,46.6316691,24.5708537,470
47,60,6,606,46.6089069,24.5845995,1389
48,61,6,606,46.6099623,24.5849711,1389
49,62,6,602,46.6730751,24.7136328,789
50,63,6,606,46.6508339,24.5688691,484
51,64,6,606,46.6715038,24.5740734,1411
52,65,6,606,46.6809874,24.5816493,1411
53,66,6,606,46.6846109,24.5877828,1094
54,67,6,606,46.686699,24.5889011,1094
55,68,6,606,46.5532137,24.5910828,154
56,69,6,606,46.5822424,24.5855824,463
57,70,6,606,46.5722955,24.5832328,464
58,71,6,606,46.5743207,24.5806253,464
59,72,6,606,46.6896124,24.5866971,169
60,73,6,606,46.5506669,24.5890488,1370
61,74,5,502,46.6750629,24.7055976,32
62,75,5,502,46.7174184,24.6594427,1186
63,76,6,606,46.664529,24.7633565,708
64,77,6,606,46.6647122,24.7634307,708
65,78,5,502,46.7259729,24.6810337,1129
66,79,5,502,46.71468,24.6433654,1224
67,80,5,502,46.6881433,24.6535921,177
68,81,6,606,46.6845851,24.6019094,478
69,82,6,606,46.6937465,24.6023591,478
70,83,6,606,46.6530774,24.7385352,657
71,84,6,606,46.6731614,24.7066143,32
72,85,6,606,46.6759945,24.6998543,839
73,86,6,606,46.6774945,24.6981798,839
74,87,6,606,46.658538,24.7306113,20
75,88,6,606,46.6900581,24.6008098,478
76,89,6,606,46.6911563,24.6008325,478
77,90,6,606,46.6593588,24.7319461,19
78,91,6,606,46.8533373,24.5670583,403
79,92,6,606,46.7762827,24.5792466,394
80,93,6,606,46.7804206,24.5802896,394
81,94,6,606,46.6460326,24.7355704,629
82,95,6,606,46.6898113,24.7335208,79
83,96,6,606,46.7026392,24.6298627,207
84,97,6,606,46.6994049,24.6287392,207
85,98,6,606,46.7021472,24.6228237,209
86,99,6,606,46.7007126,24.6219871,1241
87,100,6,606,46.6993521,24.6211479,1241
88,101,6,606,46.7054557,24.6209196,1265
89,102,6,606,46.7016248,24.6084018,1276
90,103,6,606,46.7047603,24.6045216,215
91,104,6,606,46.6233665,24.7085696,14
92,105,6,606,46.6279079,24.7155037,14
93,106,6,606,46.6421984,24.7198287,624
94,107,6,606,46.644882,24.7217067,624
95,108,1,101,46.6787098,24.7729374,64
96,109,1,101,46.6784291,24.7728172,64
97,110,3,304,46.7644586,24.7602235,130
98,111,1,101,46.7097847,24.7671083,755
99,112,5,513,46.7374963,24.6430264,319
100,113,5,513,46.7460585,24.6398478,324
101,114,5,513,46.7443621,24.6403512,321
102,115,3,304,46.6685641,24.700244,827
103,116,2,215,46.7600003,24.7601474,130
104,117,2,203,46.7588855,24.745108,137
105,118,2,217,46.8096228,24.7418938,996
106,119,2,212,46.7572338,24.7440812,137
107,120,2,215,46.787759,24.6921649,937
108,121,2,205,46.7180048,24.637226,1261
109,122,2,205,46.6805291,24.7663687,64
110,123,2,215,46.779584,24.6939602,355
111,124,2,202,46.6987363,24.6747835,1041
112,125,6,606,46.7070811,24.7349205,809
113,126,6,606,46.7052037,24.6183232,1264
114,127,3,304,46.7049198,24.6117839,1275
115,128,6,606,46.7211961,24.6214787,1344
116,129,6,606,46.7281778,24.6308993,1478
117,130,3,304,46.6602334,24.7371473,68
118,131,3,304,46.6904849,24.7259027,801
119,132,6,606,46.5976637,24.5892375,1372
120,133,6,606,46.6031047,24.5911156,1372
121,134,6,606,46.6024578,24.588166,1372
122,135,6,606,46.6396685,24.6146715,1080
123,136,6,606,46.6432446,24.6140905,1080
124,137,6,606,46.6276346,24.5966044,1076
125,138,3,313,46.6834687,24.7385568,742
126,139,3,303,46.7062654,24.7656993,755
127,140,3,303,46.7062654,24.7656993,755
128,141,2,213,46.7710755,24.7203735,136
129,142,2,212,46.6783578,24.6765157,870
130,143,1,108,46.7192684,24.6573314,1194
131,144,3,304,46.7273634,24.7544495,815
132,145,3,304,46.7619847,24.7477286,137
133,146,3,304,46.7683475,24.7516453,137
134,147,3,304,46.807647,24.7199259,922
135,148,0,0,46.8993628,24.7994638,368
136,149,3,304,46.7847302,24.7049239,354
137,150,5,513,46.799856,24.5946935,401
138,151,5,513,46.7944937,24.5993647,401
139,152,5,513,46.7986691,24.5980531,401
140,153,2,215,46.6842681,24.597004,168
141,154,6,606,46.7687247,24.7259515,136
142,155,6,606,46.7777548,24.710036,914
143,156,6,606,46.7112528,24.5575085,387
144,157,6,606,46.5495218,24.5863022,1370
145,158,6,606,46.5604773,24.588288,1382
146,159,6,606,46.6881846,24.5858983,169
147,160,3,304,46.7526322,24.7419849,912
148,161,3,304,46.6904849,24.7259027,801
149,162,5,513,46.8047158,24.6399746,378
150,163,5,513,46.8041881,24.6005207,401
151,164,5,513,46.8041926,24.6362021,378
152,165,3,304,46.6911551,24.7246287,77
153,166,3,304,46.6911551,24.7246287,77
154,167,1,110,46.719329,24.6395053,285
155,168,1,110,46.7194711,24.6432376,287
156,169,6,606,46.8834205,24.8136114,368
157,170,6,606,46.8902794,24.8126281,368
158,171,6,606,46.8117399,24.7092233,356
159,172,6,606,46.8287393,24.743004,363
160,173,6,606,46.833006,24.7417602,363
161,174,6,606,46.8319516,24.7509906,489
162,175,6,606,46.8330902,24.7508196,489
163,176,6,606,46.8316843,24.7502293,489
164,177,6,606,46.8363595,24.7463252,489
165,178,6,606,46.8333242,24.7451065,489
166,179,6,606,46.8356819,24.7449861,489
167,180,6,606,46.8353267,24.7427717,489
168,181,6,606,46.8359078,24.7340208,364
169,182,6,606,46.851788,24.7223951,1015
170,183,6,606,46.8905833,24.8243916,368
171,184,6,606,46.6865703,24.6048726,478
172,185,6,606,46.6892655,24.6059091,478
173,186,6,602,46.69099,24.7062699,845
