OBJECTID,type,subtype,x,y
14,5,513,46.8723762,24.5539287
15,5,513,46.8732487,24.5533584
16,5,513,46.8744834,24.5539812
17,5,513,46.8750963,24.5547778
18,5,513,46.8763753,24.5539518
19,5,513,46.875159,24.5572778
20,5,513,46.8767008,24.555175
21,5,513,46.8774947,24.5557699
22,5,513,46.8761946,24.558765
23,5,513,46.8764878,24.5579542
24,5,513,46.877125,24.5587848
25,5,513,46.8786211,24.5578197
26,5,513,46.8786334,24.5565664
27,5,513,46.8773511,24.560533
28,5,513,46.8787819,24.5621704
29,5,513,46.8798552,24.5625188
30,5,513,46.8799317,24.5633457
31,5,513,46.8799759,24.5645651
32,5,513,46.8806786,24.5652915
33,5,513,46.8820742,24.5632089
34,5,513,46.8830804,24.5625585
35,5,513,46.8860198,24.5641406
36,1,101,46.709997,24.7671991
37,6,605,46.591925,24.5849197
38,5,502,46.7115501,24.628153
39,5,502,46.7162144,24.6559736
40,5,502,46.6928885,24.6730476
41,5,502,46.717303,24.6575954
42,6,606,46.8380302,24.7290742
43,6,606,46.839991,24.7303652
44,6,606,46.8381975,24.7291781
45,6,606,46.8389267,24.7406022
46,6,606,46.7918025,24.6894871
47,6,606,46.6082123,24.5999527
48,6,606,46.6378324,24.6114432
49,6,606,46.6635644,24.6273305
50,6,606,46.6119529,24.5976842
51,6,606,46.6079492,24.5921852
52,6,606,46.61141,24.5945622
53,6,606,46.615032,24.5939686
54,6,606,46.6068568,24.5821882
55,6,606,46.6081357,24.5792754
56,6,606,46.6077589,24.585399
57,6,606,46.6444017,24.5740282
58,6,606,46.645237,24.594701
59,6,606,46.6316691,24.5708537
60,6,606,46.6089069,24.5845995
61,6,606,46.6099623,24.5849711
62,6,602,46.6730751,24.7136328
63,6,606,46.6508339,24.5688691
64,6,606,46.6715038,24.5740734
65,6,606,46.6809874,24.5816493
66,6,606,46.6846109,24.5877828
67,6,606,46.686699,24.5889011
68,6,606,46.5532137,24.5910828
69,6,606,46.5822424,24.5855824
70,6,606,46.5722955,24.5832328
71,6,606,46.5743207,24.5806253
72,6,606,46.6896124,24.5866971
73,6,606,46.5506669,24.5890488
74,5,502,46.6750629,24.7055976
75,5,502,46.7174184,24.6594427
76,6,606,46.664529,24.7633565
77,6,606,46.6647122,24.7634307
78,5,502,46.7259729,24.6810337
79,5,502,46.71468,24.6433654
80,5,502,46.6881433,24.6535921
81,6,606,46.6845851,24.6019094
82,6,606,46.6937465,24.6023591
83,6,606,46.6530774,24.7385352
84,6,606,46.6731614,24.7066143
85,6,606,46.6759945,24.6998543
86,6,606,46.6774945,24.6981798
87,6,606,46.658538,24.7306113
88,6,606,46.6900581,24.6008098
89,6,606,46.6911563,24.6008325
90,6,606,46.6593588,24.7319461
91,6,606,46.8533373,24.5670583
92,6,606,46.7762827,24.5792466
93,6,606,46.7804206,24.5802896
94,6,606,46.6460326,24.7355704
95,6,606,46.6898113,24.7335208
96,6,606,46.7026392,24.6298627
97,6,606,46.6994049,24.6287392
98,6,606,46.7021472,24.6228237
99,6,606,46.7007126,24.6219871
100,6,606,46.6993521,24.6211479
101,6,606,46.7054557,24.6209196
102,6,606,46.7016248,24.6084018
103,6,606,46.7047603,24.6045216
104,6,606,46.6233665,24.7085696
105,6,606,46.6279079,24.7155037
106,6,606,46.6421984,24.7198287
107,6,606,46.644882,24.7217067
108,1,101,46.6787098,24.7729374
109,1,101,46.6784291,24.7728172
110,3,304,46.7644586,24.7602235
111,1,101,46.7097847,24.7671083
112,5,513,46.7374963,24.6430264
113,5,513,46.7460585,24.6398478
114,5,513,46.7443621,24.6403512
115,3,304,46.6685641,24.700244
116,2,215,46.7600003,24.7601474
117,2,203,46.7588855,24.745108
118,2,217,46.8096228,24.7418938
119,2,212,46.7572338,24.7440812
120,2,215,46.787759,24.6921649
121,2,205,46.7180048,24.637226
122,2,205,46.6805291,24.7663687
123,2,215,46.779584,24.6939602
124,2,202,46.6987363,24.6747835
125,6,606,46.7070811,24.7349205
126,6,606,46.7052037,24.6183232
127,3,304,46.7049198,24.6117839
128,6,606,46.7211961,24.6214787
129,6,606,46.7281778,24.6308993
130,3,304,46.6602334,24.7371473
131,3,304,46.6904849,24.7259027
