TAZ,Intersection,Flow,X,Y,KM
29,0,0,1066,1033,1.2758969997760532e-06
29,1,1000,1015,1042,0.024230102226664052
29,2,3000,980,966,0.38427113465300994
29,3,3000,1036,995,2.5895235131144477e-08
29,4,1000,993,1068,2.302568787824608e-06
29,5,3000,965,1026,7.4550895190391335e-06
29,6,0,991,1093,0.36420445274778923
29,7,2000,1005,1071,0.29913783020163626
29,8,1000,1025,975,6.28800769222817e-10
29,9,5000,919,1007,0.013826553159747368
29,10,1000,960,996,0.004058905072580834
29,11,0,1036,957,9.374035145399439e-06
29,12,3000,956,926,0.1983792772807115
29,13,3000,977,1015,0.0021926618617804676
29,14,4000,985,973,0.0009370159449230012
29,15,1000,1080,1045,0.0009927918008057423
29,16,1000,1065,970,1.4644987144136867e-10
29,17,3000,976,996,6.481969973227182e-05
29,18,1000,991,976,0.30348821662724373
29,19,3000,987,1014,1.772693706921626e-09
29,20,3000,1027,965,7.778866164366006e-10
29,21,2000,971,917,0.26949483529088464
29,22,3000,1017,1056,7.098828492105161e-06
29,23,0,900,988,3.5361942678725776e-10
29,24,4000,1012,1008,6.523256089640145e-16
29,25,1000,909,1035,2.5800599392302965e-06
29,26,4000,1059,1018,0.00066305147332707
29,27,0,927,992,0.10943606359097614
29,28,3000,1025,1091,0.5518645994268122
29,29,1000,1037,1044,0.0031749833976722707
29,30,0,1099,983,0.48861642736614047
29,31,3000,968,979,0.002157158629547949
29,32,3000,991,946,0.5225571924316489
29,33,1000,1081,1053,1.0193319929351363e-13
29,34,2000,989,977,0.008080395315869982
29,35,0,1011,921,0.029110385755408585
29,36,3000,999,1008,2.0237362016996143e-05
29,37,5000,1053,1074,0.07509215497806916
29,38,5000,1049,974,0.0038367699530518864
29,39,4000,987,980,0.08321946049894434
29,40,1000,1143,937,0.44452856152525777
29,41,0,973,1007,0.010483066916211514
29,42,2000,990,1099,1.0436192912974932e-08
29,43,2000,999,1034,0.008369135466008079
29,44,1000,964,968,0.000201876212401245
29,45,5000,942,1032,6.197602979485842e-10
29,46,1000,982,1018,0.00011602591413439874
29,47,4000,964,878,1.851110872589044e-10
29,48,2000,1042,1019,0.0010657162596314433
29,49,1000,990,1024,2.0931919244402207e-11
29,50,2000,900,982,2.2230133073332493e-05
29,51,2000,1023,1013,5.659994004285845e-13
29,52,3000,973,963,0.0004578869404562008
29,53,3000,916,990,1.4407383322806605e-06
29,54,2000,1030,1083,2.692785831194153e-09
29,55,1000,1047,1055,0.05204771959861763
29,56,0,984,943,0.0011171952574231603
29,57,1000,989,997,1.826225282677476e-07
29,58,2000,1008,965,0.027635536002476802
29,59,2000,927,978,0.07493569830346355
29,60,1000,1099,966,4.034225368856259e-09
29,61,1000,1010,1032,0.0008661916576193248
29,62,0,984,1016,0.5671266092209991
29,63,1000,981,1034,0.35677043002777503
29,64,2000,1019,999,0.00010048589857582158
29,65,1000,1002,982,1.4280142562659566e-05
29,66,3000,983,1022,7.695135855094003e-09
29,67,1000,940,1092,0.03493182898414014
29,68,0,1034,1035,1.4341496452603765e-05
29,69,1000,1002,984,0.01340497860884738
29,70,0,992,924,0.07856410699939471
29,71,3000,1010,1003,1.195484273798236e-21
29,72,3000,1005,1014,9.63005951215776e-21
29,73,1000,943,1002,0.6427960849884152
29,74,1000,968,1003,0.10812646780708915
29,75,4000,885,1031,0.0027618662338972505
29,76,7000,1022,959,3.1505882504049583e-06
29,77,4000,960,1049,0.00121230690918476
29,78,3000,896,979,1.2666879383189623e-08
29,79,1000,1034,1070,5.419084229256293e-08
29,80,5000,1020,980,6.429373086602051e-05
29,81,1000,811,942,8.681326101692546e-05
29,82,3000,970,1080,2.418757848858104e-10
29,83,3000,1085,975,2.597070629503629e-10
29,84,0,931,1004,0.030006864748209454
29,85,4000,949,986,0.1432172342751508
29,86,2000,1041,974,0.007266122390234018
29,87,1000,1049,1005,0.011411415993610135
29,88,1000,1012,1075,0.5849681954980875
29,89,0,988,1067,7.665318954103682e-07
29,90,3000,1022,1140,0.00029977052565577323
29,91,3000,1002,993,0.08852492682117817
29,92,2000,950,1029,0.9635460017847554
29,93,1000,1044,1080,0.2788987476342605
29,94,2000,956,947,1.7467719270788612e-10
29,95,2000,1004,1019,0.0053192284678350715
29,96,1000,967,975,0.0073991911216670396
29,97,0,1014,912,0.23927642769867047
29,98,3000,909,964,8.299976841483227e-12
29,99,2000,1058,1077,0.005685440135540634
