OBJECTID,type,subtype,x,y,TAZ
1,6, Training Centers,46.6988598,24.731714,808
2,3, Shopping and Services,46.6752794,24.7310878,795
3,3, Shopping and Services,46.6727742,24.7134026,789
4,6, Training Centers,46.6494352,24.6476973,1030
5,6, Other Educational Facilities,46.6080737,24.480089,486
6,2, Restaurants,46.6741029,24.6922784,841
7,5, Factories,46.8718667,24.5463224,404
8,5, Factories,46.8708317,24.5519206,404
9,5, Factories,46.8708387,24.5502172,404
10,5, Factories,46.8718641,24.5532704,404
11,5, Governmental Authorities,46.75715,24.7095046,1406
12,5, Governmental Authorities,46.7020697,24.680257,110
13,5, Factories,46.8723022,24.5521256,404
14,5, Factories,46.8723762,24.5539287,404
15,5, Factories,46.8732487,24.5533584,404
16,5, Factories,46.8744834,24.5539812,404
17,5, Factories,46.8750963,24.5547778,404
18,5, Factories,46.8763753,24.5539518,404
19,5, Factories,46.875159,24.5572778,404
20,5, Factories,46.8767008,24.555175,404
21,5, Factories,46.8774947,24.5557699,404
22,5, Factories,46.8761946,24.558765,404
23,5, Factories,46.8764878,24.5579542,404
24,5, Factories,46.877125,24.5587848,404
25,5, Factories,46.8786211,24.5578197,404
26,5, Factories,46.8786334,24.5565664,404
27,5, Factories,46.8773511,24.560533,404
28,5, Factories,46.8787819,24.5621704,404
29,5, Factories,46.8798552,24.5625188,404
30,5, Factories,46.8799317,24.5633457,404
31,5, Factories,46.8799759,24.5645651,404
32,5, Factories,46.8806786,24.5652915,404
33,5, Factories,46.8820742,24.5632089,404
34,5, Factories,46.8830804,24.5625585,404
35,5, Factories,46.8860198,24.5641406,404
36,1, Hotels and Furnished Apartments,46.709997,24.7671991,755
37,6, Private Schools,46.591925,24.5849197,1387
38,5, Governmental Authorities,46.7115501,24.628153,1259
39,5, Governmental Authorities,46.7162144,24.6559736,1180
40,5, Governmental Authorities,46.6928885,24.6730476,1036
41,5, Governmental Authorities,46.717303,24.6575954,1188
42,6, Government Schools,46.8380302,24.7290742,364
43,6, Government Schools,46.839991,24.7303652,364
44,6, Government Schools,46.8381975,24.7291781,364
45,6, Government Schools,46.8389267,24.7406022,491
46,6, Government Schools,46.7918025,24.6894871,937
47,6, Government Schools,46.6082123,24.5999527,157
48,6, Government Schools,46.6378324,24.6114432,1080
49,6, Government Schools,46.6635644,24.6273305,160
50,6, Government Schools,46.6119529,24.5976842,157
51,6, Government Schools,46.6079492,24.5921852,157
52,6, Government Schools,46.61141,24.5945622,157
53,6, Government Schools,46.615032,24.5939686,157
54,6, Government Schools,46.6068568,24.5821882,1390
55,6, Government Schools,46.6081357,24.5792754,1390
56,6, Government Schools,46.6077589,24.585399,469
57,6, Government Schools,46.6444017,24.5740282,163
58,6, Government Schools,46.645237,24.594701,1112
59,6, Government Schools,46.6316691,24.5708537,470
60,6, Government Schools,46.6089069,24.5845995,1389
61,6, Government Schools,46.6099623,24.5849711,1389
62,6, Training Centers,46.6730751,24.7136328,789
63,6, Government Schools,46.6508339,24.5688691,484
64,6, Government Schools,46.6715038,24.5740734,1411
65,6, Government Schools,46.6809874,24.5816493,1411
66,6, Government Schools,46.6846109,24.5877828,1094
67,6, Government Schools,46.686699,24.5889011,1094
68,6, Government Schools,46.5532137,24.5910828,154
69,6, Government Schools,46.5822424,24.5855824,463
70,6, Government Schools,46.5722955,24.5832328,464
71,6, Government Schools,46.5743207,24.5806253,464
72,6, Government Schools,46.6896124,24.5866971,169
73,6, Government Schools,46.5506669,24.5890488,1370
74,5, Governmental Authorities,46.6750629,24.7055976,32
75,5, Governmental Authorities,46.7174184,24.6594427,1186
76,6, Government Schools,46.664529,24.7633565,708
77,6, Government Schools,46.6647122,24.7634307,708
78,5, Governmental Authorities,46.7259729,24.6810337,1129
79,5, Governmental Authorities,46.71468,24.6433654,1224
80,5, Governmental Authorities,46.6881433,24.6535921,177
81,6, Government Schools,46.6845851,24.6019094,478
82,6, Government Schools,46.6937465,24.6023591,478
83,6, Government Schools,46.6530774,24.7385352,657
84,6, Government Schools,46.6731614,24.7066143,32
85,6, Government Schools,46.6759945,24.6998543,839
86,6, Government Schools,46.6774945,24.6981798,839
87,6, Government Schools,46.658538,24.7306113,20
88,6, Government Schools,46.6900581,24.6008098,478
89,6, Government Schools,46.6911563,24.6008325,478
90,6, Government Schools,46.6593588,24.7319461,19
91,6, Government Schools,46.8533373,24.5670583,403
92,6, Government Schools,46.7762827,24.5792466,394
93,6, Government Schools,46.7804206,24.5802896,394
94,6, Government Schools,46.6460326,24.7355704,629
95,6, Government Schools,46.6898113,24.7335208,79
96,6, Government Schools,46.7026392,24.6298627,207
97,6, Government Schools,46.6994049,24.6287392,207
98,6, Government Schools,46.7021472,24.6228237,209
99,6, Government Schools,46.7007126,24.6219871,1241
100,6, Government Schools,46.6993521,24.6211479,1241
101,6, Government Schools,46.7054557,24.6209196,1265
102,6, Government Schools,46.7016248,24.6084018,1276
103,6, Government Schools,46.7047603,24.6045216,215
104,6, Government Schools,46.6233665,24.7085696,14
105,6, Government Schools,46.6279079,24.7155037,14
106,6, Government Schools,46.6421984,24.7198287,624
107,6, Government Schools,46.644882,24.7217067,624
108,1, Hotels and Furnished Apartments,46.6787098,24.7729374,64
109,1, Hotels and Furnished Apartments,46.6784291,24.7728172,64
110,3, Shopping and Services,46.7644586,24.7602235,130
111,1, Hotels and Furnished Apartments,46.7097847,24.7671083,755
112,5, Factories,46.7374963,24.6430264,319
113,5, Factories,46.7460585,24.6398478,324
114,5, Factories,46.7443621,24.6403512,321
115,3, Shopping and Services,46.6685641,24.700244,827
116,2, Restaurants,46.7600003,24.7601474,130
